No.,Question_KO,Question_EN,Facet,,is_verified
,한국어로 번역된 문장,원본 문장,"O(), C(), E(), A(), N()",key(-1 or 1),by ioio.org
1,나는 다른 사람들에 대해 관심이 있다.,Am interested in people.,A,1,Y
2,나는 다른 사람들의 감정에 잘 공감한다.,Sympathize with others' feelings.,A,1,Y
3,나는 마음이 여린 편이다.,Have a soft heart.,A,1,Y
4,나는 주변 다른 사람들에게 내 시간을 잘 할애하는 편이다.,Take time out for others.,A,1,Y
5,나는 주변 다른 사람들의 감정을 잘 알아차린다.,Feel others' emotions.,A,1,Y
6,나는 주변 다른 사람들을 편안하게 해준다.,Make people feel at ease.,A,1,Y
7,나는 내가 아는 사람들이 잘 지내고 있는지를 안부를 묻는 편이다.,Inquire about others' well-being.,A,1,Y
8,나는 다른 사람들을 편안하게 하는 방법을 안다.,Know how to comfort others.,A,1,Y
9,나는 아이들을 매우 좋아한다.,Love children.,A,1,Y
10,나는 거의 모든 사람들과 사이가 좋다.,Am on good terms with nearly everyone.,A,1,Y
11,나는 다른 사람들과 한 약속은 지킨다.,Have a good word for everyone.,A,1,Y
12,나는 감사함을 잘 표현한다.,Show my gratitude.,A,1,Y
13,나는 다른 사람들을 돕는 것을 좋아한다.,Think of others first.,A,1,Y
14,나는 다른 사람들을 먼저 고려하며 행동한다.,Love to help others.,A,1,Y
15,나는 다른 사람들의 개인적인 문제에 관심이 없다.,Am not interested in other people's problems.,A,-1,Y
16,나는 다른 사람들의 근심을 거의 알아차리지 못한다.,Feel little concern for others.,A,-1,Y
17,나는 다른 사람들에 대해 별로 관심이 없다.,Am not really interested in others.,A,-1,Y
18,나는 친해지기 어려운 사람이다.,Am hard to get to know.,A,-1,Y
19,나는 다른 사람들의 감정에 무관심한 편이다.,Am indifferent to the feelings of others.,A,-1,Y
20,나는 무슨 일이든 항상 준비를 하는 편이다.,Am always prepared.,C,1,Y
21,나는 세부사항도 잘 챙기려고 이에 신경을 쓰는 편이다.,Pay attention to details.,C,1,Y
22,나는 자질구레한 일들은 금방금방 해치운다.,Get chores done right away.,C,1,Y
23,나는 질서정연한 것을 좋아한다.,Like order.,C,1,Y
24,나는 정해진 일정을 따르는 편이다.,Follow a schedule.,C,1,Y
25,나는 내가 맡은 일에 매우 꼼꼼한 사람이다.,Am exacting in my work.,C,1,Y
26,나는 가능하다면 계획한 대로 일을 처리한다.,Do things according to a plan.,C,1,Y
27,나는 모든 것이 완벽할 때까지 계속 일하는 편이다.,Continue until everything is perfect.,C,1,Y
28,나는 일단 계획을 세우고 나면 그것을 철저히 따른다.,Make plans and stick to them.,C,1,Y
29,나는 질서정연함과 규칙적인 것을 좋아한다.,Love order and regularity.,C,1,Y
30,나는 깔끔하게 잘 정돈된 것을 좋아한다.,Like to tidy up.,C,1,Y
31,나는 내 물건들을 여기저기에 그냥 놓는 편이다.,Leave my belongings around.,C,-1,Y
32,나는 물건들을 어질러 놓는 편이다.,Make a mess of things.,C,-1,Y
33,나는 물건들을 제자리에 되놓은 것을 자주 잊는다.,Often forget to put things back in their proper place.,C,-1,Y
34,내가 맡은 일들을 대충 처리하는 경우도 많다.,Shirk my duties.,C,-1,Y
35,나는 내가 맡은 일을 가급적 뒷전으로 미룰 때가 많다.,Neglect my duties.,C,-1,Y
36,나는 시간을 효과적으로 활용하지 못할 때가 많다.,Waste my time.,C,-1,Y
37,나는 일을 절반 즈음 하다가 끝까지 마무리하지 못하는 경향이 있다.,Do things in a half-way manner.,C,-1,Y
38,나는 내 방이 지저분해도 주로 그냥 두는 편이다.,Find it difficult to get down to work.,C,-1,Y
39,나는 어떤 일이든 그 일을 시작하는 것이 어렵다.,Leave a mess in my room.,C,-1,Y
40,나는 대체적으로 이완된 상태이다.,Am relaxed most of the time.,N,-1,Y
41,나는 거의 우울함을 느끼지 않는 편이다.,Seldom feel blue.,N,-1,Y
42,나는 어떤 일 때문에 정신없이 안절부절 하는 편은 아니다.,Am not easily bothered by things.,N,-1,Y
43,나는 쉽게 신경질적이 되지는 않는다.,Rarely get irritated.,N,-1,Y
44,나는 일단 화가 나도 격노하는 편은 아니다.,Seldom get mad.,N,-1,Y
45,나는 쉽게 스트레스로 지치는 편이다.,Get stressed out easily.,N,1,Y
46,나는 걱정이 많다.,Worry about things.,N,1,Y
47,나는 쉽게 심란해진다.,Am easily disturbed.,N,1,Y
48,나는 쉽게 속이 상한다.,Get upset easily.,N,1,Y
49,나는 분위기를 많이 탄다.,Change my mood a lot.,N,1,Y
50,나는 감정의 기복이 심하다.,Have frequent mood swings.,N,1,Y
51,나는 쉽게 짜증이 난다.,Get irritated easily.,N,1,Y
52,나는 쉽게 우울해진다.,Often feel blue.,N,1,Y
53,나는 쉽게 화가 난다.,Get angry easily.,N,1,Y
54,나는 쉽게 겁먹는다.,Panic easily.,N,1,Y
55,나는 쉽게 위협감을 느낀다.,Feel threatened easily.,N,1,Y
56,나는 어떤 감정에 휩쓸리면 거기서 잘 헤어나지 못한다.,Get overwhelmed by emotions.,N,1,Y
57,나는 쉽게 울화가 치민다.,Take offense easily.,N,1,Y
58,나는 어떤 예기치 않은 사건이 생기면 이에 압도당해 어쩔 줄 모른다.,Get caught up in my problems.,N,1,Y
59,나는 무언가에 대해서 잘 불평하는 편이다.,Grumble about things.,N,1,Y
60,나는 각종 모임에 다니는 것을 즐긴다.,Am the life of the party.,E,1,Y
61,나는 여러 사람들 가운데 있어도 편하다.,Feel comfortable around people.,E,1,Y
62,나는 사람들을 만나면 대화를 먼저 시작하는 편이다.,Start conversations.,E,1,Y
63,나는 모임에서 여러 사람들과 이야기를 나누는 편이다.,Talk to a lot of different people at parties.,E,1,Y
64,나는 다른 사람들의 주목을 받는 것을 꺼리지 않는다.,Don't mind being the center of attention.,E,1,Y
65,나는 어떤 일이든 나서는 편이다.,Make friends easily.,E,1,Y
66,나는 쉽게 친구를 사귄다.,Take charge.,E,1,Y
67,나는 다른 사람들을 매료시키는 방법을 안다.,Know how to captivate people.,E,1,Y
68,나는 다른 사람들과 같이 있을 때 오히려 편안함을 느낀다.,Feel at ease with people.,E,1,Y
69,나는 여러 사회적 상황에 잘 대처하는 편이다.,Am skilled in handling social situations.,E,1,Y
70,나는 말이 적은 편이다.,Don't talk a lot.,E,-1,Y
71,나는 나서지 않는 편이다.,Keep in the background.,E,-1,Y
72,나는 보통 할 말이 별로 없다.,Have little to say.,E,-1,Y
73,나는 나에게 관심이나 이목이 집중되는 것을 좋아하지 않는다.,Don't like to draw attention to myself.,E,-1,Y
74,나는 모르는 사람들 가운데 있으면 조용해진다.,Am quiet around strangers.,E,-1,Y
75,나는 주변에 모르는 사람들이 많이 있을 때 불편함을 느끼는 편이다.,Find it difficult to approach others.,E,-1,Y
76,나는 내 감정이나 기분을 잘 표현하지 않는다.,Often feel uncomfortable around others.,E,-1,Y
77,나는 나를 잘 드러내지 않는 사람이다.,Bottle up my feelings.,E,-1,Y
78,나는 다른 사람들이 앞장서주기를 기다린다.,Am a very private person.,E,-1,Y
79,나는 다른 사람들에게 먼저 다가가 말을 거는 것이 어렵다.,Wait for others to lead the way.,E,-1,Y
80,나는 어휘력이 풍부하다.,Have a rich vocabulary.,O,1,Y
81,나는 생생한 상상력을 가지고 있다.,Have a vivid imagination.,O,1,Y
82,나는 굉장한 아이디어들을 가지고 있다.,Have excellent ideas.,O,1,Y
83,나는 무엇이든 매우 빨리 이해한다.,Am quick to understand things.,O,1,Y
84,나는 수준 높은 단어를 쓰는 편이다.,Use difficult words.,O,1,Y
85,나는 골똘히 생각하며 시간을 보낼 때가 많다.,Spend time reflecting on things.,O,1,Y
86,나는 아이디어가 매우 풍부하다.,Am full of ideas.,O,1,Y
87,나는 수준 높은 대화를 하려고 한다.,Carry the conversation to a higher level.,O,1,Y
88,나는 뭐든지 금방 이해한다.,Catch on to things quickly.,O,1,Y
89,나는 많은 양의 정보도 잘 처리하는 편이다.,Can handle a lot of information.,O,1,Y
90,나는 새로운 일처리 방식을 생각해내는 것을 좋아한다.,Love to think up new ways of doing things.,O,1,Y
91,나는 단순한 글보다 어려운 글을 읽는 것을 즐긴다.,Love to read challenging material.,O,1,Y
92,나는 많은 일들도 능숙하게 하는 편이다.,Am good at many things.,O,1,Y
93,나는 추상적인 것을 잘 이해하지 못한다.,Have difficulty understanding abstract ideas.,O,-1,Y
94,나는 복잡한 것은 질색이다.,Am not interested in abstract ideas.,O,-1,Y
95,나는 상상력이 좋지 않다.,Do not have a good imagination.,O,-1,Y
96,나는 생각이 복잡한 사람들과 별로 어울리고 쉽지 않다.,Try to avoid complex people.,O,-1,Y
97,나는 무언가를 상상하는 것을 잘 하지 못한다.,Have difficulty imagining things.,O,-1,Y
98,나는 읽기 어려운 것을 피하려고 한다.,Avoid difficult reading material.,O,-1,Y
99,나는 어떤 주제에 대해서 깊이 파고드는 편은 아니다.,Will not probe deeply into a subject.,O,-1,Y
100,다른 사람들이 좋은 의도를 가지고 있다고 믿어라.,Believe that others have good intentions.,A,1,
101,나는 다른 사람들을 존경할 줄 안다.,Respect others.,A,1,
102,나는 타인을 있는 그대로 받아들인다.,Accept people as they are.,A,1,
103,나는 다른 사람을 걱정하는 편이다.,Am concerned about others.,A,1,
104,나는 타인의 말을 밑는 편이다.,Trust what people say.,A,1,
105,나는 안전하다고 생각한다.,Am easy to safety.,A,1,
106,나는 모든 사람을 평등하게 대한다.,Treat all people equally.,A,1,
107,나는 독설을 하는 편이다.,Have a sharp tongue.,A,-1,
108,다른 사람들을 조각조각 잘라라.,Cut others to pieces.,A,-1,
109,나는 다른 사람의 숨겨진 동기를 의심한다.,Suspect hidden motives in others.,A,-1,
110,나는 다른 사람에게 앙갚음을 한다.,Get back at others.,A,-1,
111,나는 불성실한 편이다.,Insult people.,A,-1,
112,내가 다른 사람들보다 낫다고 믿는다.,Believe that i am better than others.,A,-1,
113,나는 타인의 말에 반대하는 편이다.,Contradict others.,A,-1,
114,나는 타인에게 요구하는 편이다.,"Make demands on others,",A,-1,
115,나는 화가 나면 원한을 품는다.,Hold a grudge.,A,-1,
116,내 개인적인 이익을 위해 나가는 편이다.,Am out for my own personal gain.,A,-1,
117,내 계획을 끝까지 밀고 나가는 편이다.,Follow through with my plans.,C,1,
118,나는 일을 지나치게 열심히 하는 편이다.,Do just enough work to get by.,C,-1,
119,나는 무엇을 할 때 깊게 보지 않는다.,Don't see things through.,C,-1,
120,나는 의무를 회피하는 편이다.,Shirk my duties.,C,-1,
121,나는 일을 잘 망치는 편이다.,Mess things up.,C,-1,
122,나는 일을 미완성 상태로 두는 편이다.,Leave things unfinished.,C,-1,
123,당면한 일에 내 마음을 쏟지 않는 편이다.,Don't put my mind on the task at hand.,C,-1,
124,일을 엉망으로 만드는 편이다.,Make a mess of things.,C,-1,
125,일을 시작할 때 추진력있게 하는 편이다.,Need a push to get started.,C,-1,
126,내 계획을 실행하는 편이다.,Carry out my plans.,C,1,
127,일을 성공적으로 완수하는 편이다.,Complete tasks successfully.,C,1,
128,내가 시작한 것을 끝내는 편이다.,Finish what i start.,C,1,
129,나 자신을 싫어한다.,Dislike myself.,N,1,
130,나는 종종 우울하다.,Am often down in the dumps.,N,1,
131,사물에 대한 의심으로 가득 차 있다.,Am filled with doubts about things.,N,1,
132,나는 최악에 대한 두려움이 있다.,Fear for the worst.,N,1,
133,내 자신이 편하다.,Feel comfortable with myself.,N,-1,
134,나 자신에 대해 매우 만족한다.,Am very pleased with myself.,N,-1,
135,나는 쉽게 좌절하지 않는다.,Am not easily frustrated.,N,-1,
136,나는 중압감을 견딜 수 있다.,remain calm under pressure.,N,-1,
137,나는 좀처럼 평정을 잃지 않는다.,Rarely lose my composure.,N,-1,
138,나는 사람들 주위에서 편안함을 느낀다.,Feel cofortable around people.,E,1,
139,다른 사람과 빨리 친해지는 편이다.,Warm up quickly to others.,E,1,
140,파티에서 많은 다른 사람들과 대화하기를 원한다.,Talk to a lot of different people at parties.,E,1,
141,관심의 대상이 되는 것을 꺼리지 않는다.,Don't mind being the center of attention.,E,1,
142,나는 사람들을 격려한다.,Cheer people up.,E,1,
143,내 경험은 다소 따분하다고 말할 수 있을 것이다.,Would describe my experiences as somewhat dull.,E,-1,
144,나는 다른 사람과의 접촉을 피하는 편이다.,Avoid contacts with others.,E,-1,
145,나는 알기 어렵다.,Am hard to get to know.,E,-1,
146,남에게서 물러나고 싶다,Retreat from others.,E,-1,
147,다른 사람들을 멀리하는 편이다.,Keep others at a distance.,E,-1,
148,예술의 중요성을 믿는다.,Believe in the important of art.,O,1,
149,진보적인 정치 후보들에게 투표하는 경향이 있다.,Tend to vote for liberal political candidates.,O,1,
150,새로운 아이디어를 즐기는 편이다,Enjoy hearing new ideas.,O,1,
151,사물에 대해 생각하는 것을 즐기는 편이다.,Enjoy thinking about things.,O,1,
152,아름답게 말할 수 있다.,Can say things beautifully.,O,1,
153,광란의 환상을 즐기는 편이다.,Enjoy wild flights of fantasy.,O,1,
154,새로운 아이디어에 흥분하는 편이다,Get excited by new ideas.,O,1,
155,예술을 좋아하지 않는다.,Do not like art.,O,-1,
156,철학적 논의를 피하려고 한다.,Avoid pjilosophical discussions.,O,-1,
157,미술관에 가는 것을 즐기지 않는다.,Do not enjoy going to art museums.,O,-1,
158,나는 시를 좋아하지 않는다.,Do not like poetry.,O,-1,
159,사물에 있어서 더 깊은 의미를 찾는 일은 드물다고 생각한다.,Rarely look for a deeper meaning in things.,O,-1,
160,너무 많은 세금이 예술가를 지원하는 데 쓰인다고 생각한다.,Believe that too much tax money goes to support artists.,O,-1,
161,나는 이론적인 논의에는 관심이 없다.,Am not interested in theoretical discussions.,O,-1,
